0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69
32.0	10.0	1.0	7.0	1460.0	29200.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	100.0	5.0	3.0	3.0	0.0	0.0	0.0	1.0	57.0	0.0	74628.0	74628.0	74628.0		1.0	20.134565114974976	20.134565114974976	20.134565114974976		183.0	0.0	368.0	172.59614297958277	8.0	6.346640020608902	0.0776982307434082	30.15236473083496	11.88890101393398	196.0	66.0	4110.0	824.8367346938776	867079.5834641545	3.6294273887807518	98.0	98.0	7939.0	153729.0	0.0	3e-06	30.07451	0.095984	0.023467158000596774	0.5111804387755103	0.007705255102040819	66.0	66.0	434.0	4110.0	68.44525164043787	787.686341152817	81.01020408163265	1568.6632653061224	1.0	0.0	0.0	11101.0
0.0	11.0	1.0	7.0	1460.0	29200.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	51.0	2.0	3.0	2.0	0.0	1.0	0.0	1.0	34.0	0.0	6372.5	1161.0	11584.0	7370.173980307385	2.0	3.849146604537964	0.28240418434143066	7.415889024734497	5.044135504133374	222.85714285714286	0.0	438.0	188.94922472402345	7.0	1.4789159638541085	0.06989789009094238	7.005000829696655	2.5794977594263093	99.0	66.0	2762.0	703.1111111111111	593361.2018140588	0.3225226590032224	48.0	51.0	4735.0	64873.0	0.0	7e-06	2.217191	7.002561	0.9791900789072777	0.05880970833333335	0.14900280392156862	66.0	66.0	504.0	2762.0	104.24755511870265	686.9347127695928	98.64583333333333	1272.0196078431372	1.0	0.0	0.0	11101.0
0.0	11.0	1.0	7.0	1460.0	29200.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	188.0	2.0	6.0	0.0	0.0	0.0	0.0	1.0	149.0	0.0	50435.666666666664	1064.0	148348.0	84795.58599557725	3.0	3.1967457135518393	0.12936615943908691	7.7082459926605225	3.990484730314692	231.7	0.0	402.0	185.3501491172256	10.0	1.035061001777649	0.06976103782653809	7.006738901138306	2.153742422595864	399.0	66.0	4110.0	931.8295739348371	881696.4432437889	0.1215270528595468	185.0	214.0	15026.0	356774.0	0.0	2e-06	1.542236	7.006126	0.47886044484858964	0.013162918918918918	0.0373184953271028	66.0	66.0	468.0	4110.0	66.31380903775013	687.0279051535992	81.22162162162162	1667.1682242990655	1.0	0.0	0.0	11101.0
32.0	11.0	1.0	7.0	1460.0	29200.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2674.0	28.0	94.0	93.0	2.0	7.0	5.0	14.0	1776.0	15.0	61121.98888888889	0.0	127601.0	28262.363015185452	90.0	26.07290944258372	19.969606161117554	54.790205001831055	6.846119860994136	183.48333333333332	0.0	517.0	185.21575747123234	180.0	13.151097627480825	0.07066774368286133	45.12009310722351	13.728318532409912	5890.0	60.0	4110.0	1011.8947368421053	1041442.4338150462	4.763350561751017	2667.0	3223.0	209297.0	5750763.0	0.0	3e-06	45.049313	44.831665	0.7898232231890067	0.8684689415073221	0.018933023270245094	66.0	60.0	583.0	4110.0	66.49589579847633	762.8014256143988	78.47656542932134	1784.2888613093392	1.0	0.0	3.0	11101.0
0.0	11.0	1.0	7.0	1460.0	29200.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	34.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	45.07399904727936	45.05596995353699	45.1280300617218	0.036020678991020204	394.0	0.0	788.0	557.2001435749994	2.0	120.05868303775787	0.16938495635986328	239.94798111915588	169.54907133010374	42.0	66.0	2114.0	214.85714285714286	188298.27177700354	20.379611103819116	19.0	23.0	2256.0	6768.0	0.0	2.5e-05	45.11427	14.642367	3.0500823832254387	11.855482	0.6509004782608695	66.0	66.0	363.0	2114.0	94.67596322032277	573.5982294722978	118.73684210526316	294.2608695652174	1.0	0.0	5.0	10101.0
0.0	9.0	1.0	8.0	1460.0	65535.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	24.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	28.0	0.0					0.0					129.85714285714286	0.0	412.0	193.22303914684412	7.0	4.3992542539324075	0.07549190521240234	23.51409888267517	8.798000311691826	56.0	54.0	1414.0	770.4464285714286	441250.6152597407	5.241069964258438	20.0	36.0	2000.0	41145.0	0.0	0.0	23.43895	6.850513	1.139481175950391	1.17211155	0.20634349999999999	54.0	60.0	466.0	1414.0	125.62978191998567	534.1084627676291	100.0	1142.9166666666667	0.0	1.0	0.0	11302.0
0.0	9.0	1.0	8.0	1460.0	65535.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	27.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	47485.0	47485.0	47485.0		1.0	21.11473298072815	21.11473298072815	21.11473298072815		113.625	0.0	412.0	184.68733230594273	8.0	5.2282432317733765	0.07454514503479004	20.56136417388916	7.954896385471754	65.0	54.0	1414.0	801.6153846153846	444796.334134615	5.029656377974248	23.0	42.0	2162.0	49943.0	0.0	0.0	20.486129	7.002953	1.078578443972425	1.486367304347826	0.18367721428571426	54.0	60.0	466.0	1414.0	117.81997052514252	502.150021426449	94.0	1189.1190476190477	0.0	1.0	0.0	11302.0
0.0	9.0	1.0	8.0	1460.0	65535.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	36.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	70.0	0.0	96185.0	96185.0	96185.0		1.0	30.837888956069946	30.837888956069946	30.837888956069946		100.88888888888889	0.0	412.0	176.93321087662179	9.0	4.262378666136	0.0797278881072998	30.639975786209106	10.145098676732529	110.0	54.0	1414.0	938.5	410487.2247706422	6.6760388577988765	32.0	78.0	2648.0	100587.0	0.0	0.0	30.559527	6.923727	0.7835963067681968	1.6799130625	0.10206175641025642	54.0	60.0	466.0	1414.0	100.92219935465461	384.4310188989804	82.75	1289.576923076923	0.0	1.0	0.0	11302.0
0.0	9.0	1.0	8.0	1460.0	65535.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	32.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	51.0	0.0	69947.0	69947.0	69947.0		1.0	20.621407985687256	20.621407985687256	20.621407985687256		113.5	0.0	412.0	184.7747663662825	8.0	4.760856479406357	0.0791771411895752	30.6342830657959	10.724910890296343	87.0	54.0	1414.0	870.7471264367816	430149.98182304145	6.208086284072226	28.0	59.0	2432.0	73323.0	0.0	0.0	30.55439	6.924703	0.9003257390047774	1.5644601785714287	0.13035513559322034	54.0	60.0	466.0	1414.0	107.49081417625935	441.58911073933143	86.85714285714286	1242.7627118644068	0.0	1.0	0.0	11302.0
0.0	9.0	1.0	8.0	1460.0	65535.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	29.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	43.0	0.0					0.0					151.33333333333334	0.0	412.0	202.3063683294885	6.0	1.2546181678771973	0.07298922538757324	7.008149862289429	2.8192992223272024	76.0	54.0	1414.0	853.671052631579	435964.3570175442	4.639891900987588	25.0	51.0	2270.0	62609.0	0.0	0.0	23.199589	7.003389	0.9795332039953165	0.92810796	0.15042043137254904	54.0	60.0	466.0	1414.0	113.34644531994225	462.76711036046277	90.8	1227.6274509803923	0.0	1.0	0.0	11302.0
